wmc,dit,cbo,rfc,ca,ce,npm,lcom3,loc,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
2,3,51,15,43,8,2,2.0,72,0.857142857,0.625,2,2,35.0,5,2.5,0
2,1,12,14,0,12,0,1.0,61,0.0,1.0,0,0,24.0,0,0.0,0
2,4,26,17,3,23,2,2.0,174,0.944444444,0.625,1,1,86.0,1,0.5,0
2,3,17,35,1,16,2,1.0,161,0.857142857,0.625,1,1,78.5,12,6.0,0
2,1,12,14,0,12,0,1.0,66,0.0,1.0,0,0,26.0,0,0.0,0
6,4,28,39,5,23,2,2.0,296,0.772727273,0.270833333,1,1,48.33333333,7,2.3333,0
2,3,14,18,1,13,2,2.0,67,0.857142857,0.6,1,1,32.5,4,2.0,0
4,5,26,39,1,25,3,1.0,238,0.96,0.5555555560000001,4,9,57.25,1,0.5,0
2,3,24,30,1,23,2,1.0,159,0.857142857,0.625,1,1,78.0,1,0.5,0
2,2,16,16,1,15,2,2.0,54,0.8,0.666666667,1,1,26.0,1,0.5,0
2,1,9,11,0,9,0,1.0,46,0.0,1.0,0,0,18.0,0,0.0,0
2,3,10,8,1,9,2,2.0,29,0.857142857,0.625,1,1,13.5,1,0.5,0
5,4,12,30,1,11,4,0.916666667,152,0.9538461540000001,0.666666667,3,6,28.8,1,0.6,0
5,5,17,19,1,16,1,0.916666667,73,0.875,0.666666667,2,3,13.0,1,0.6,0
4,7,14,16,2,12,1,1.0,50,0.916666667,0.5555555560000001,2,2,10.75,1,0.5,0
2,3,7,9,1,6,2,2.0,28,0.857142857,0.625,1,1,13.0,2,1.0,0
5,5,17,16,5,12,1,0.916666667,63,0.875,0.666666667,2,3,11.0,1,0.6,0
4,4,19,33,1,18,3,1.0,153,0.97826087,0.5555555560000001,3,10,36.5,1,0.5,0
2,5,26,4,22,4,2,2.0,9,0.954545455,0.666666667,1,1,3.5,1,0.5,0
2,3,18,12,1,17,2,2.0,69,0.857142857,0.625,1,1,33.5,1,0.5,0
5,6,21,23,2,19,1,0.916666667,86,0.88,0.666666667,2,3,15.6,1,0.6,0
4,2,31,66,0,31,2,0.8205128209999999,670,0.894736842,0.5555555560000001,0,0,163.25,10,2.75,0
4,4,10,15,1,9,3,1.0,64,0.9655172409999999,0.5555555560000001,3,6,14.25,1,0.5,0
2,2,19,16,1,18,2,2.0,76,0.8,0.666666667,1,1,37.0,1,0.5,0
5,7,22,23,2,20,1,0.916666667,86,0.884615385,0.666666667,2,3,15.6,1,0.6,0
2,4,26,12,8,18,2,2.0,51,0.944444444,0.625,1,1,24.5,5,2.5,0
5,6,14,17,1,13,1,0.916666667,58,0.88,0.666666667,2,3,10.0,2,0.8,0
5,4,12,23,1,11,1,0.9375,178,0.931818182,0.625,1,2,33.8,1,0.6,0
5,7,23,25,1,22,1,0.916666667,96,0.884615385,0.666666667,2,3,17.6,1,0.6,0
7,3,16,44,6,10,5,0.611111111,286,0.893617021,0.45833333299999995,1,2,39.42857143,3,1.8571,1
4,6,15,13,6,9,1,1.0,43,0.913043478,0.5555555560000001,2,2,9.0,1,0.5,0
2,3,14,9,1,13,2,2.0,35,0.857142857,0.625,1,1,16.5,1,0.5,0
22,3,111,170,88,24,20,0.929705215,2198,0.677419355,0.232804233,2,4,97.95454545,37,5.8182,2
4,4,27,68,1,26,3,1.0,298,0.9655172409999999,0.5555555560000001,3,7,72.75,1,0.5,1
4,4,11,19,1,10,3,1.0,102,0.97826087,0.5555555560000001,3,9,23.75,1,0.5,0
5,7,10,16,1,9,1,0.916666667,62,0.884615385,0.666666667,2,3,10.8,1,0.6,0
2,3,10,18,1,9,2,2.0,69,0.857142857,0.666666667,1,1,33.5,6,3.0,0
4,4,18,19,5,13,3,1.0,103,0.961538462,0.666666667,3,4,24.0,1,0.5,0
5,7,14,17,2,12,1,0.916666667,68,0.884615385,0.666666667,2,4,12.0,1,0.6,0
2,1,35,37,0,35,0,1.0,176,0.0,1.0,0,0,70.0,0,0.0,0
6,6,23,32,2,21,1,0.8666666670000001,132,0.84,0.7333333329999999,2,3,20.5,1,0.6667,0
4,5,15,29,2,13,3,1.0,109,0.96,0.5555555560000001,4,8,25.5,1,0.5,0
19,1,53,131,13,41,13,1.027777778,885,0.0,0.15555555599999998,0,0,45.15789474,9,2.6316,3
4,4,8,13,0,8,3,1.0,53,0.939393939,0.5555555560000001,3,4,11.5,1,0.5,0
2,4,6,4,1,5,2,2.0,11,0.875,0.625,2,2,4.0,1,0.5,0
2,1,2,5,1,1,2,2.0,27,0.0,0.75,0,0,12.5,3,1.5,0
2,3,9,22,1,8,2,1.0,79,0.857142857,0.666666667,1,1,38.0,5,2.5,0
5,4,16,35,0,16,2,0.8125,299,0.846153846,0.8,0,0,57.2,4,1.6,1
2,3,11,5,7,4,2,2.0,15,0.857142857,0.666666667,0,0,6.5,1,0.5,0
6,2,31,60,0,31,3,1.133333333,613,0.615384615,0.35714285700000004,0,0,100.66666670000001,25,9.3333,0
5,6,17,18,1,16,1,0.916666667,61,0.88,0.666666667,2,3,10.6,1,0.6,0
5,5,13,18,3,10,1,0.916666667,78,0.875,0.666666667,2,3,14.0,1,0.6,0
4,7,10,13,1,9,1,1.0,43,0.92,0.5555555560000001,2,2,9.0,1,0.5,0
2,3,13,15,1,12,2,2.0,57,0.857142857,0.625,1,1,27.5,4,2.0,0
2,1,13,15,0,13,0,1.0,71,0.0,1.0,0,0,28.0,0,0.0,0
2,3,19,13,3,16,2,2.0,67,0.857142857,0.625,1,1,32.5,7,3.5,0
2,3,8,14,0,8,2,2.0,51,0.857142857,0.666666667,1,1,24.5,4,2.0,0
6,6,19,22,4,15,1,0.8666666670000001,89,0.84,0.7333333329999999,2,3,13.33333333,1,0.6667,0
4,6,10,13,1,9,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
2,4,31,26,2,29,2,2.0,145,0.944444444,0.625,2,2,71.5,1,0.5,0
3,1,3,9,0,3,2,1.0,31,0.0,0.333333333,0,0,9.0,2,1.0,0
2,3,10,11,3,7,2,2.0,45,0.857142857,0.625,1,1,21.5,3,1.5,0
3,3,38,50,1,37,2,0.875,243,0.857142857,0.666666667,1,1,78.66666667,12,4.0,3
6,4,8,13,1,7,1,2.0,34,0.857142857,0.75,1,2,4.666666667,1,0.8333,0
5,5,12,17,1,11,1,1.0,60,0.875,0.5,2,5,10.4,1,0.6,0
2,1,9,11,0,9,0,1.0,81,0.0,1.0,0,0,32.0,0,0.0,0
2,1,5,7,0,5,0,1.0,31,0.0,1.0,0,0,12.0,0,0.0,0
2,3,14,18,1,13,2,2.0,67,0.857142857,0.6,1,1,32.5,4,2.0,0
2,2,9,26,1,8,2,2.0,144,0.961538462,0.666666667,1,3,71.0,10,5.0,0
12,4,28,69,1,27,2,0.977272727,1897,0.607142857,0.27380952399999997,1,2,156.75,14,3.0,2
2,3,21,20,1,20,2,2.0,89,0.857142857,0.625,1,1,43.5,6,3.0,0
5,4,14,24,4,10,4,1.0,107,0.967741935,0.666666667,3,13,19.8,1,0.6,0
4,2,81,16,72,9,3,1.0,53,0.666666667,0.666666667,1,1,11.75,1,0.5,0
5,5,2,10,0,2,2,1.083333333,35,0.953125,1.0,4,7,5.4,1,0.6,0
2,2,12,16,1,11,2,2.0,65,0.8,0.666666667,1,1,31.5,5,2.5,0
6,4,30,109,1,29,4,1.05,643,0.924528302,0.36,2,4,105.5,2,0.8333,0
2,3,9,13,1,8,2,2.0,49,0.857142857,0.625,1,1,23.5,4,2.0,0
5,5,16,20,3,13,1,0.916666667,92,0.875,0.666666667,2,3,16.8,1,0.6,0
4,4,28,56,1,27,3,1.0,282,0.9655172409999999,0.5555555560000001,3,7,68.75,1,0.5,0
2,3,17,19,2,15,2,2.0,83,0.857142857,0.625,1,1,40.5,7,3.5,0
4,4,15,23,1,14,3,1.0,94,0.97826087,0.5555555560000001,3,10,21.75,1,0.5,0
2,1,2,4,0,2,0,1.0,11,0.0,1.0,0,0,4.0,0,0.0,0
4,4,11,29,1,10,3,1.0,130,0.96875,0.5555555560000001,3,6,30.75,1,0.5,2
6,7,14,20,1,13,1,0.8666666670000001,75,0.846153846,0.7333333329999999,2,3,11.0,1,0.6667,0
2,2,9,12,1,8,2,2.0,46,0.8,0.666666667,1,1,22.0,1,0.5,0
2,3,13,16,2,11,2,2.0,61,0.857142857,0.625,1,1,29.5,4,2.0,0
2,1,2,4,0,2,0,1.0,11,0.0,1.0,0,0,4.0,0,0.0,0
5,7,13,16,2,11,1,0.916666667,62,0.88,0.666666667,2,3,10.8,1,0.6,0
2,4,22,14,11,11,2,2.0,55,0.944444444,0.625,1,1,26.5,1,0.5,0
5,7,17,19,1,16,1,0.916666667,75,0.88,0.666666667,2,3,13.4,1,0.6,0
2,3,5,4,1,4,2,2.0,12,0.857142857,0.666666667,1,1,5.0,1,0.5,0
5,4,23,50,2,21,4,0.916666667,257,0.95,0.583333333,3,5,49.8,1,0.6,0
2,4,20,16,0,20,2,2.0,68,0.944444444,0.625,1,1,33.0,1,0.5,0
2,3,18,15,1,17,2,2.0,68,0.857142857,0.625,1,1,33.0,1,0.5,0
6,7,26,30,1,25,2,0.933333333,111,0.851851852,0.666666667,2,3,17.0,1,0.6667,0
4,5,15,29,2,13,3,1.0,109,0.96,0.5555555560000001,4,8,25.5,1,0.5,0
3,3,11,19,2,9,2,0.75,72,0.857142857,0.666666667,1,1,22.33333333,5,1.6667,0
2,3,12,11,1,11,2,2.0,38,0.857142857,0.625,1,1,18.0,4,2.0,0
2,4,52,39,13,39,2,1.0,285,0.944444444,0.625,2,2,140.5,1,0.5,0
2,3,14,12,1,13,2,2.0,50,0.857142857,0.625,1,1,24.0,2,1.0,0
5,6,13,20,0,13,1,0.916666667,72,0.875,0.666666667,2,3,12.8,1,0.6,0
50,2,5,51,0,5,50,2.0,151,0.6597222220000001,0.185,0,0,2.02,1,0.98,0
1,1,2,1,1,1,1,2.0,1,0.0,1.0,0,0,0.0,1,1.0,0
2,3,24,12,3,21,2,2.0,69,0.857142857,0.625,1,1,33.5,1,0.5,0
4,5,24,30,1,23,3,1.0,111,0.96,0.5555555560000001,4,8,26.0,1,0.5,0
5,4,19,32,2,17,4,0.916666667,164,0.967741935,0.666666667,3,9,31.2,1,0.6,1
5,7,14,17,2,12,1,0.916666667,68,0.884615385,0.666666667,2,4,12.0,1,0.6,0
4,1,2,6,0,2,4,2.0,13,0.0,0.625,0,0,2.25,1,0.75,0
5,4,21,29,2,19,4,0.916666667,171,0.967741935,0.666666667,4,10,32.6,1,0.6,0
6,1,11,29,1,10,6,0.966666667,176,0.0,0.333333333,0,0,27.33333333,8,2.1667,1
4,5,16,19,1,15,3,1.0,70,0.96,0.5555555560000001,4,7,15.75,1,0.5,0
5,4,13,16,1,12,1,1.25,52,0.875,0.55,2,3,9.2,4,1.4,0
5,6,15,23,1,14,1,0.9375,105,0.875,0.666666667,2,3,19.2,1,0.6,0
5,5,13,16,1,12,1,0.916666667,60,0.875,0.666666667,2,3,10.4,1,0.6,0
1,1,1,1,1,0,0,2.0,134,0.0,0.0,0,0,129.0,0,0.0,0
2,3,17,27,2,15,2,2.0,130,0.857142857,0.625,1,1,64.0,1,0.5,0
2,3,13,17,1,12,2,2.0,62,0.857142857,0.6,1,1,30.0,4,2.0,0
4,7,10,13,1,9,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
5,1,3,43,0,3,4,0.583333333,329,0.0,0.41666666700000005,0,0,63.6,1,0.6,0
25,1,198,84,173,25,22,0.944444444,572,0.0,0.179166667,0,0,21.64,5,2.16,2
2,3,23,13,5,18,2,2.0,58,0.857142857,0.625,1,1,28.0,4,2.0,0
5,5,14,17,1,13,1,0.916666667,60,0.875,0.666666667,2,3,10.4,1,0.6,0
6,5,15,10,10,5,2,2.0,31,0.8888888890000001,0.375,3,8,4.166666667,1,0.8333,0
5,5,18,30,5,13,4,1.0,108,0.9411764709999999,0.5,4,11,20.0,1,0.6,0
2,3,9,13,2,7,2,2.0,43,0.857142857,0.666666667,0,0,20.5,3,1.5,0
5,6,19,20,2,17,1,0.916666667,71,0.875,0.666666667,2,3,12.6,1,0.6,0
4,4,8,13,0,8,3,1.0,53,0.939393939,0.5555555560000001,3,4,11.5,1,0.5,0
2,2,4,3,0,4,2,2.0,7,0.8,0.666666667,1,1,2.5,1,0.5,0
2,2,4,5,0,4,2,2.0,23,0.75,0.625,1,1,10.5,1,0.5,0
5,6,18,20,1,17,1,0.916666667,71,0.875,0.666666667,2,3,12.6,1,0.6,0
4,6,8,13,0,8,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
9,1,27,37,0,27,8,1.0625,200,0.0,0.255555556,0,0,21.0,5,2.1111,0
5,7,13,18,1,12,1,1.0,53,0.88,0.666666667,2,3,9.0,1,0.6,0
2,1,64,66,0,64,0,1.0,321,0.0,1.0,0,0,128.0,0,0.0,0
5,4,15,16,3,12,1,2.0,68,0.875,0.55,2,3,12.6,7,2.0,0
2,3,16,17,1,15,2,2.0,67,0.857142857,0.6,1,1,32.5,1,0.5,0
3,3,21,13,8,13,2,0.5,48,0.857142857,0.625,1,1,14.66666667,4,1.3333,0
5,6,15,19,2,13,1,0.916666667,72,0.875,0.666666667,2,3,12.8,1,0.6,0
5,6,10,17,1,9,1,0.95,67,0.875,0.666666667,2,3,11.4,1,0.6,0
3,3,15,24,4,11,2,0.75,92,0.857142857,0.666666667,1,1,29.0,9,3.0,0
5,2,29,57,0,29,2,0.9375,394,0.85,0.5,1,2,76.2,10,2.4,1
2,3,18,15,4,14,2,2.0,54,0.857142857,0.625,1,1,26.0,3,1.5,0
4,4,10,26,0,10,2,0.761904762,183,0.904761905,0.5,0,0,43.0,5,1.5,0
6,4,14,29,2,12,5,0.933333333,164,0.93442623,0.55,3,5,25.83333333,1,0.6667,0
5,7,12,17,0,12,1,0.916666667,68,0.884615385,0.666666667,2,4,12.0,1,0.6,0
2,1,12,14,0,12,0,1.0,61,0.0,1.0,0,0,24.0,0,0.0,0
6,1,7,33,1,6,1,0.8,165,0.0,0.23809523800000001,0,0,26.33333333,2,1.0,0
0,1,5,0,5,0,0,2.0,19,0.0,0.0,0,0,0.0,0,0.0,0
3,4,2,8,0,2,2,1.166666667,29,0.9841269840000001,1.0,3,4,7.666666667,1,0.3333,1
2,4,16,14,1,15,2,2.0,48,0.944444444,0.625,2,2,23.0,1,0.5,0
4,4,28,70,1,27,3,1.0,401,0.97826087,0.5555555560000001,4,8,98.5,1,0.5,0
13,1,35,128,2,33,4,0.911347518,1761,0.0,0.135416667,0,0,130.8461538,8,2.1538,0
4,5,10,13,1,9,1,1.0,43,0.913043478,0.5555555560000001,2,2,9.0,1,0.5,0
13,4,43,108,5,40,0,0.9513888890000001,948,0.788461538,0.208333333,2,4,71.0,19,3.3846,1
2,1,14,16,0,14,0,1.0,81,0.0,1.0,0,0,32.0,0,0.0,0
2,3,18,18,2,16,2,2.0,68,0.857142857,0.625,1,1,33.0,1,0.5,0
2,3,14,29,0,14,2,2.0,169,0.857142857,0.625,1,1,83.5,1,0.5,0
4,6,10,13,1,9,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
5,8,30,32,3,27,1,0.916666667,128,0.8888888890000001,0.666666667,2,3,24.0,1,0.6,0
40,1,106,195,48,58,34,0.9890109890000001,1790,0.0,0.14743589699999998,0,0,43.575,12,2.975,8
5,6,10,16,1,9,1,0.916666667,62,0.88,0.666666667,2,3,10.8,1,0.6,0
2,3,7,11,1,6,2,2.0,42,0.857142857,0.625,1,1,20.0,3,1.5,0
2,3,17,23,4,13,2,2.0,116,0.857142857,0.583333333,2,2,57.0,1,0.5,0
2,1,30,32,0,30,0,1.0,151,0.0,1.0,0,0,60.0,0,0.0,0
5,6,17,22,1,16,1,1.05,116,0.875,0.666666667,2,3,21.2,1,0.6,0
3,4,24,19,1,23,2,0.5,148,0.944444444,0.625,2,2,48.0,1,0.3333,0
4,4,14,24,1,13,3,1.0,107,0.97826087,0.5555555560000001,3,10,25.0,1,0.5,0
6,4,34,62,4,30,5,0.7,315,0.933333333,0.5,3,8,51.16666667,2,0.8333,1
2,3,13,9,0,13,2,2.0,27,0.857142857,0.625,1,1,12.5,2,1.0,0
4,5,13,23,2,11,3,1.0,98,0.96,0.5555555560000001,4,8,22.75,1,0.5,0
5,6,15,19,2,13,1,0.916666667,72,0.875,0.666666667,2,3,12.8,1,0.6,0
2,1,6,2,4,2,2,2.0,2,0.0,0.75,0,0,0.0,1,1.0,0
1,1,10,1,6,4,1,2.0,1,0.0,1.0,0,0,0.0,1,1.0,0
2,3,12,13,2,10,2,2.0,47,0.857142857,0.625,1,1,22.5,1,0.5,0
2,2,17,14,8,9,2,2.0,54,0.8,0.666666667,1,1,26.0,4,2.0,1
2,2,18,18,1,17,2,2.0,86,0.8,0.666666667,1,1,42.0,1,0.5,0
4,2,5,15,1,4,3,1.333333333,94,0.884615385,0.583333333,2,4,22.25,3,1.75,0
4,5,2,9,0,2,2,1.111111111,32,0.96875,1.0,4,7,6.25,1,0.5,0
2,3,20,22,1,19,2,2.0,119,0.857142857,0.625,1,1,58.5,15,7.5,0
2,4,4,4,1,3,2,2.0,13,0.875,0.666666667,1,2,5.5,1,0.5,1
2,1,12,13,1,11,1,2.0,53,0.0,0.5,0,0,25.5,6,3.0,0
4,3,27,22,5,22,3,2.0,115,0.666666667,0.583333333,1,1,27.75,3,1.25,0
2,1,5,7,0,5,0,1.0,26,0.0,1.0,0,0,10.0,0,0.0,0
3,2,12,21,0,12,2,0.75,94,0.666666667,0.625,1,1,29.66666667,5,1.6667,0
2,3,17,20,4,13,2,2.0,81,0.857142857,0.625,1,1,39.5,1,0.5,0
41,1,8,42,8,0,41,0.975,204,0.0,0.37195122,0,0,3.487804878,1,0.9756,0
9,1,23,37,4,19,6,0.75,1598,0.0,0.5,0,0,175.77777780000002,2,0.8889,0
2,3,15,17,1,14,2,2.0,66,0.857142857,0.625,1,1,32.0,7,3.5,0
10,1,21,32,7,14,4,0.962962963,183,0.0,0.36111111100000004,0,0,17.0,4,1.8,0
2,3,9,15,1,8,2,2.0,60,0.857142857,0.625,1,1,29.0,4,2.0,0
2,1,6,8,0,6,0,1.0,31,0.0,1.0,0,0,12.0,0,0.0,0
2,3,18,11,4,14,2,2.0,42,0.857142857,0.625,1,1,20.0,3,1.5,0
5,1,12,27,3,9,5,1.0,286,0.0,0.6,0,0,54.8,17,4.2,1
2,3,14,16,1,13,2,2.0,61,0.857142857,0.625,1,1,29.5,4,2.0,0
2,3,25,14,4,21,2,2.0,55,0.857142857,0.625,1,1,26.5,3,1.5,0
5,7,14,17,1,13,1,0.916666667,58,0.884615385,0.666666667,2,3,10.0,1,0.6,0
3,1,27,18,17,10,1,0.75,62,0.0,0.5,0,0,19.0,4,1.3333,0
2,1,2,4,0,2,0,1.0,11,0.0,1.0,0,0,4.0,0,0.0,0
2,3,19,25,2,17,2,2.0,123,0.857142857,0.625,1,1,60.5,1,0.5,0
3,3,31,41,6,25,2,2.0,210,0.75,0.47619047600000003,2,2,69.0,5,2.0,0
5,7,15,19,1,14,2,1.0,56,0.884615385,0.583333333,2,3,9.6,1,0.6,0
5,7,16,19,1,15,1,0.916666667,66,0.884615385,0.666666667,2,3,11.6,1,0.6,0
5,4,8,22,0,8,1,0.916666667,148,0.931818182,0.5,1,2,28.0,1,0.6,1
3,4,28,53,2,26,2,1.0,639,0.894736842,0.46666666700000003,1,2,211.66666669999998,1,0.6667,0
2,1,25,27,0,25,0,1.0,126,0.0,1.0,0,0,50.0,0,0.0,0
73,1,15,75,0,15,73,0.980555556,241,0.0,0.073972603,0,0,2.232876712,1,0.9863,0
2,2,4,5,0,4,2,2.0,23,0.75,0.625,1,1,10.5,1,0.5,0
3,3,10,24,1,9,2,0.75,83,0.857142857,0.666666667,1,1,26.0,4,1.3333,0
5,4,19,35,2,17,4,0.916666667,198,0.967741935,0.666666667,3,12,38.0,1,0.6,0
4,4,24,62,1,23,3,1.0,323,0.9655172409999999,0.5555555560000001,3,5,79.0,1,0.5,0
2,3,10,12,0,10,2,2.0,49,0.857142857,0.625,1,1,23.5,1,0.5,0
5,7,15,18,0,15,1,0.916666667,64,0.88,0.666666667,2,3,11.2,1,0.6,0
2,2,12,9,3,9,2,2.0,26,0.8,0.666666667,1,1,12.0,1,0.5,0
3,1,5,21,1,4,2,0.75,81,0.0,0.75,0,0,25.33333333,1,0.3333,0
3,3,25,73,0,25,1,0.916666667,348,0.976190476,0.75,2,3,113.0,11,3.6667,0
2,3,7,5,2,5,2,2.0,14,0.857142857,0.666666667,1,1,6.0,1,0.5,0
4,4,19,32,1,18,3,1.0,141,0.9607843140000001,0.5555555560000001,3,5,33.5,1,0.5,0
2,3,10,6,4,6,2,2.0,17,0.857142857,0.625,1,1,7.5,1,0.5,0
4,4,6,8,1,5,1,1.333333333,22,0.9032258059999999,0.4375,2,2,4.25,1,0.75,0
6,4,25,49,2,23,5,0.95,242,0.957446809,0.5,4,11,38.66666667,1,0.6667,0
27,1,31,110,10,21,14,0.875,1135,0.0,0.219230769,0,0,40.59259259,13,2.8148,2
3,2,9,5,2,7,3,2.0,15,0.666666667,0.583333333,1,1,4.0,1,0.6667,0
5,6,15,18,0,15,1,0.916666667,64,0.88,0.666666667,2,3,11.2,1,0.6,0
2,3,10,8,0,10,2,2.0,25,0.857142857,0.666666667,1,1,11.5,1,0.5,0
2,3,10,11,0,10,2,2.0,77,0.857142857,0.666666667,1,1,37.5,7,3.5,0
4,4,14,29,0,14,2,0.833333333,232,0.913043478,0.5,0,0,55.0,5,1.5,0
5,7,16,18,1,15,1,0.916666667,64,0.88,0.666666667,2,3,11.2,1,0.6,0
5,5,2,10,0,2,2,1.083333333,35,0.955882353,1.0,4,9,5.4,1,0.6,0
6,4,10,27,0,10,5,1.0,114,0.9,0.45,1,1,17.5,5,1.6667,1
4,4,15,24,2,13,3,1.0,101,0.97826087,0.5555555560000001,3,9,23.5,1,0.5,0
5,4,9,14,1,8,1,2.0,42,0.875,0.55,2,3,7.4,3,1.2,0
5,6,14,20,1,13,2,1.0,61,0.875,0.4,2,3,10.6,1,0.6,0
6,4,23,37,2,21,5,0.8666666670000001,237,0.957446809,0.7333333329999999,3,6,38.0,1,0.6667,0
2,2,11,9,2,9,2,2.0,43,0.8,0.666666667,1,1,20.5,1,0.5,0
2,3,16,12,1,15,2,2.0,40,0.857142857,0.625,1,1,19.0,1,0.5,0
6,4,13,20,2,11,1,1.0,67,0.833333333,0.533333333,2,4,9.666666667000001,1,0.6667,0
4,7,10,13,1,9,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
5,5,9,14,1,8,1,1.0,45,0.875,0.5,2,5,7.4,1,0.6,0
4,6,10,13,1,9,1,1.0,43,0.913043478,0.5555555560000001,2,2,9.0,1,0.5,0
5,4,11,21,1,10,3,1.0,124,0.967741935,0.4375,3,9,23.2,1,0.6,0
5,8,23,29,1,22,1,0.916666667,105,0.8888888890000001,0.666666667,2,3,19.4,1,0.6,0
4,5,11,15,2,9,1,1.0,47,0.913043478,0.5555555560000001,2,2,10.0,1,0.5,0
4,4,18,26,1,17,3,1.0,110,0.97826087,0.5555555560000001,3,9,25.75,1,0.5,0
5,6,16,18,1,15,1,0.916666667,68,0.88,0.666666667,2,3,12.0,1,0.6,0
2,3,12,18,0,12,2,2.0,91,0.857142857,0.625,1,1,44.5,5,2.5,0
5,6,21,19,6,15,1,0.916666667,70,0.875,0.666666667,2,3,12.4,1,0.6,0
4,4,18,47,1,17,3,1.0,192,0.966101695,0.5555555560000001,3,5,46.25,1,0.5,0
4,4,16,29,1,15,3,1.0,137,0.96875,0.5555555560000001,3,6,32.5,1,0.5,0
2,3,11,20,1,10,2,2.0,81,0.857142857,0.666666667,1,1,39.5,5,2.5,0
3,5,11,8,1,10,1,2.0,28,0.92,0.5,1,2,8.333333332999999,2,1.0,0
13,1,49,65,14,35,0,0.958333333,1570,0.0,0.384615385,0,0,119.61538459999998,7,2.0769,0
2,2,16,15,3,13,2,2.0,69,0.8,0.666666667,1,1,33.5,1,0.5,0
4,5,15,24,1,14,3,1.0,86,0.96,0.5555555560000001,4,9,19.75,1,0.5,0
4,4,7,9,1,6,1,2.0,24,0.9032258059999999,0.4375,2,2,5.0,1,0.75,0
6,4,13,18,2,11,1,0.933333333,60,0.833333333,0.6,2,5,8.5,2,0.8333,0
4,2,5,5,1,4,2,2.0,23,0.884615385,0.583333333,1,2,4.75,1,0.75,0
4,5,2,9,0,2,2,1.111111111,32,0.96875,1.0,4,7,6.25,1,0.5,0
2,3,16,15,1,15,2,2.0,68,0.857142857,0.625,1,1,33.0,1,0.5,0
5,4,9,12,1,8,1,2.0,35,0.875,0.55,2,3,6.0,1,0.8,0
4,4,16,22,1,15,3,1.133333333,88,0.957446809,0.5555555560000001,3,5,19.75,1,0.5,0
3,1,9,24,1,8,1,1.3125,102,0.0,0.5,0,0,30.33333333,1,0.3333,0
2,3,12,13,1,11,2,2.0,47,0.857142857,0.625,1,1,22.5,2,1.0,0
3,3,23,22,2,21,2,1.0,87,0.857142857,0.625,1,1,27.33333333,4,1.3333,0
6,6,21,27,0,21,1,0.8666666670000001,121,0.84,0.7333333329999999,2,3,18.66666667,1,0.6667,0
2,3,30,31,4,26,2,2.0,198,0.857142857,0.625,1,1,98.0,18,9.0,0
2,1,4,2,3,1,2,2.0,2,0.0,0.75,0,0,0.0,1,1.0,0
2,3,18,14,1,17,2,2.0,98,0.857142857,0.625,1,1,48.0,6,3.0,0
56,1,142,128,104,39,48,0.940909091,1773,0.0,0.17636363600000002,0,0,30.58928571,6,1.9643,1
19,1,22,92,1,22,3,1.013888889,1123,0.0,0.196969697,0,0,57.47368421,6,2.5789,0
4,7,11,13,3,8,1,1.0,43,0.916666667,0.5555555560000001,2,2,9.0,1,0.5,0
8,4,15,53,1,14,4,0.8214285709999999,289,0.904761905,0.4,3,4,34.625,1,0.75,0
3,3,8,14,0,8,2,0.75,46,0.947368421,0.666666667,0,0,13.66666667,2,0.6667,0
5,5,19,19,4,15,1,0.916666667,75,0.875,0.666666667,2,3,13.4,1,0.6,0
2,3,17,17,2,15,2,2.0,64,0.857142857,0.625,1,1,31.0,4,2.0,0
2,3,10,8,4,6,2,2.0,28,0.857142857,0.625,1,1,13.0,2,1.0,0
2,3,10,19,1,9,2,2.0,81,0.857142857,0.666666667,1,1,39.5,5,2.5,0
5,1,15,34,3,12,4,0.625,245,0.0,0.41666666700000005,0,0,47.6,8,2.8,0
5,5,16,17,2,14,1,0.916666667,61,0.875,0.666666667,2,3,10.6,1,0.6,0
2,3,25,14,4,21,2,2.0,52,0.857142857,0.625,1,1,25.0,4,2.0,0
4,4,10,18,1,9,3,1.0,85,0.97826087,0.5555555560000001,3,9,19.5,1,0.5,0
4,5,10,13,1,9,1,1.0,43,0.913043478,0.5555555560000001,2,2,9.0,1,0.5,0
2,1,27,29,0,27,0,1.0,141,0.0,1.0,0,0,56.0,0,0.0,0
2,1,10,7,1,9,1,2.0,30,0.0,0.5,0,0,14.0,2,1.0,0
2,3,13,16,2,11,2,2.0,62,0.857142857,0.625,1,1,30.0,4,2.0,0
2,4,8,13,2,6,2,2.0,43,0.875,0.666666667,0,0,20.5,3,1.5,0
2,7,6,4,3,3,1,2.0,9,0.956521739,0.666666667,1,1,3.5,1,0.5,0
4,4,18,24,0,18,1,1.2380952379999999,132,0.916666667,0.833333333,1,1,30.25,14,3.75,0
2,2,2,5,0,2,1,2.0,12,0.833333333,0.5,0,0,5.0,1,0.5,0
2,1,10,12,0,10,0,1.0,51,0.0,1.0,0,0,20.0,0,0.0,0
