wmc,noc,cbo,rfc,ca,npm,lcom3,loc,dam,moa,cam,cbm,max_cc,avg_cc,bug
10,0,10,27,3,9,0.333333333,107,1.0,0,0.283333333,3,4,0.9,0
5,0,7,7,5,5,0.25,30,1.0,0,0.7,0,1,0.8,0
5,0,4,10,0,5,2.0,28,0.0,0,0.36,0,1,0.8,0
12,0,6,24,2,7,0.75,145,1.0,0,0.260416667,2,2,1.0833,0
9,0,7,16,4,9,0.625,60,1.0,1,0.444444444,2,1,0.4444,0
2,0,6,6,6,2,0.0,20,1.0,0,0.75,0,1,0.5,0
13,0,8,32,1,11,0.638888889,201,1.0,2,0.321428571,0,1,0.5385,0
15,1,7,25,1,12,0.8035714290000001,139,1.0,1,0.276190476,0,2,1.0,1
6,0,11,29,2,3,0.7,152,1.0,2,0.46666666700000003,2,4,1.1667,1
8,0,5,12,3,7,0.7142857140000001,68,1.0,0,0.541666667,0,2,1.25,0
9,0,9,28,3,7,0.65,224,1.0,4,0.275,0,4,1.3333,0
1,0,2,2,2,1,2.0,4,0.0,0,1.0,0,0,0.0,0
4,0,11,7,7,4,0.0,36,1.0,1,0.5,0,1,0.5,0
3,0,6,8,1,2,2.0,22,0.0,0,0.666666667,1,1,0.3333,0
32,0,38,97,3,20,0.85483871,834,1.0,1,0.17595307899999998,3,7,1.7813,0
2,0,22,2,22,2,2.0,2,0.0,0,0.833333333,0,1,1.0,1
7,0,9,21,2,7,2.0,57,0.0,0,0.39285714299999996,4,2,0.7143,0
12,0,12,27,2,8,0.704545455,124,1.0,2,0.233766234,1,2,0.8333,1
4,0,22,4,20,4,2.0,4,0.0,0,0.4,0,1,1.0,1
11,0,13,24,5,11,0.8,101,1.0,4,0.272727273,0,1,0.9091,0
0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0
6,0,3,9,0,4,0.4,34,1.0,0,0.375,1,2,1.0,0
19,0,9,20,4,15,0.666666667,105,1.0,1,0.233082707,3,1,0.8421,0
6,1,6,12,1,6,0.0,39,1.0,1,0.30952381,0,1,0.8333,1
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
26,17,49,51,39,21,0.7759999999999999,366,1.0,3,0.205128205,0,6,1.3846,0
3,0,4,18,1,3,2.0,65,0.0,0,0.41666666700000005,0,4,1.6667,0
2,0,60,2,60,2,2.0,2,0.0,0,0.833333333,0,1,1.0,0
3,0,10,8,5,3,0.0,26,1.0,1,0.5,0,1,0.3333,1
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
8,0,1,12,1,8,0.761904762,52,1.0,0,0.45833333299999995,0,1,0.875,0
10,0,7,17,1,10,0.5555555560000001,82,1.0,1,0.375,1,2,0.8,0
4,0,7,17,1,4,0.5,78,1.0,1,0.4,0,2,1.0,3
18,0,11,36,1,18,0.68627451,142,1.0,2,0.161111111,0,1,0.9444,0
31,1,16,59,1,28,0.855555556,251,1.0,2,0.13399503699999998,0,2,1.0,6
9,0,40,101,1,4,0.45833333299999995,505,1.0,2,0.222222222,1,1,0.8889,0
17,0,9,20,4,13,0.75,99,1.0,1,0.235294118,3,1,0.8235,0
2,0,2,3,1,1,2.0,7,0.0,0,0.75,0,1,0.5,0
5,0,12,23,2,4,0.25,125,1.0,0,0.5,2,4,1.4,0
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
15,0,5,22,1,13,0.8428571429999999,164,1.0,0,0.29333333300000003,6,4,1.1333,0
4,0,7,4,6,4,2.0,4,0.0,0,0.583333333,0,1,1.0,3
4,0,3,9,0,4,0.333333333,34,1.0,0,0.5,0,2,1.0,0
15,32,37,34,34,7,0.8469387759999999,239,1.0,0,0.37777777799999995,0,5,1.4667,4
5,0,11,14,6,4,2.0,41,0.0,0,0.28,0,1,0.8,0
6,0,11,39,1,3,0.4,189,1.0,0,0.333333333,0,5,1.3333,0
1,0,5,1,5,1,2.0,1,0.0,0,1.0,0,1,1.0,0
3,0,3,7,1,3,0.0,21,1.0,0,0.666666667,0,1,0.6667,0
12,0,15,32,2,9,0.318181818,156,1.0,1,0.333333333,1,4,1.1667,0
4,0,4,9,0,3,0.333333333,37,1.0,0,0.4,1,1,0.75,0
6,0,3,16,1,5,0.8,80,1.0,0,0.41666666700000005,0,3,1.1667,0
6,0,5,16,1,2,0.7,59,1.0,0,0.36,1,2,0.8333,1
5,0,2,16,0,4,2.0,81,0.0,0,0.333333333,0,1,0.8,0
3,2,6,6,5,3,1.5,17,1.0,0,0.7777777779999999,0,0,0.0,0
36,0,52,81,24,33,2.0,342,0.0,0,0.13888888900000002,0,12,1.2778,4
14,0,15,28,6,14,0.615384615,109,1.0,0,0.27380952399999997,0,3,1.0714,0
1,0,5,1,4,1,2.0,1,0.0,0,1.0,0,1,1.0,0
2,0,16,7,12,1,2.0,23,0.0,0,0.5,0,1,0.5,0
3,0,4,6,2,2,0.5,33,1.0,1,0.666666667,0,2,1.0,0
12,0,7,49,1,12,0.636363636,239,1.0,1,0.240740741,0,1,0.8333,0
14,0,15,26,0,12,0.807692308,157,0.833333333,2,0.23076923100000002,0,8,1.3571,0
3,0,8,11,1,2,0.5,41,1.0,0,0.75,0,1,0.3333,0
3,0,10,21,4,2,2.0,106,0.0,0,0.666666667,3,11,4.0,4
7,0,11,16,4,7,2.0,45,0.0,0,0.39285714299999996,4,1,0.5714,0
4,0,2,12,0,3,2.0,37,0.0,0,0.5625,0,2,1.0,0
2,0,3,6,0,2,2.0,14,0.0,0,0.666666667,0,1,0.5,0
4,0,9,21,1,2,0.666666667,113,1.0,0,0.666666667,0,5,1.5,0
13,1,15,25,3,11,0.611111111,120,1.0,1,0.24175824199999998,0,1,0.7692,0
3,0,5,4,2,3,0.5,21,1.0,2,0.5,0,1,0.6667,0
2,0,7,9,0,2,2.0,48,0.0,0,0.6,1,4,2.0,1
4,0,5,7,0,4,2.0,18,0.0,0,0.75,0,1,0.75,0
15,0,21,48,2,10,0.7551020409999999,243,1.0,4,0.214285714,1,6,1.2667,0
4,0,7,16,1,2,0.333333333,68,1.0,0,0.5,0,1,0.5,3
19,0,31,84,5,10,0.814814815,501,0.8888888890000001,5,0.212962963,1,9,1.5263,0
24,0,17,48,12,19,0.8819875779999999,238,1.0,2,0.223602484,0,3,1.1667,0
21,2,9,37,3,12,0.8888888890000001,180,0.7777777779999999,3,0.17857142899999998,1,4,1.1905,8
2,0,3,5,0,1,2.0,12,0.0,0,0.666666667,1,1,0.5,0
2,0,3,5,0,1,0.0,13,1.0,0,1.0,0,0,0.0,0
2,0,4,4,0,1,2.0,9,0.0,0,0.75,1,1,0.5,1
2,0,22,2,21,2,2.0,2,0.0,0,0.7,0,1,1.0,0
2,0,3,6,2,2,1.0,22,1.0,0,0.666666667,0,1,0.5,0
4,0,8,18,1,2,0.5,131,1.0,2,0.7777777779999999,0,3,1.5,1
13,0,8,34,0,6,0.75,322,1.0,1,0.333333333,0,5,1.3077,0
7,0,12,24,2,1,0.666666667,108,1.0,1,0.291666667,1,1,0.7143,0
3,0,3,5,2,3,2.0,12,0.0,0,0.666666667,2,1,0.3333,0
2,0,2,3,1,1,2.0,7,0.0,0,0.75,0,1,0.5,0
67,2,29,131,13,53,0.882575758,1285,1.0,2,0.096801347,0,6,1.194,4
14,0,22,63,2,9,0.7564102559999999,519,1.0,1,0.35897435899999997,0,17,3.2143,3
11,0,9,30,1,9,0.35,132,1.0,2,0.257575758,2,1,0.7273,0
5,0,7,15,1,5,2.0,41,0.0,0,0.46666666700000003,3,1,0.6,0
3,0,3,10,0,2,2.0,30,0.0,0,0.666666667,0,1,0.3333,0
13,0,16,79,1,2,0.5,744,1.0,1,0.25,6,1,0.8462,0
9,0,7,17,0,9,0.6875,78,1.0,1,0.40740740700000005,0,1,0.8889,0
1,0,34,1,31,1,2.0,1,0.0,0,1.0,0,1,1.0,1
4,0,2,6,1,4,0.333333333,24,1.0,0,0.75,2,1,0.5,0
19,0,11,27,4,19,0.9236111109999999,135,1.0,3,0.169590643,0,3,1.0526,3
30,0,6,61,1,29,0.8683385579999999,349,1.0,0,0.166666667,5,2,0.9333,0
2,0,4,2,2,2,2.0,2,0.0,0,0.833333333,0,1,1.0,0
2,0,5,2,4,2,2.0,2,0.0,0,0.75,0,1,1.0,0
4,0,5,6,1,3,0.333333333,21,1.0,0,0.5,1,1,0.75,0
4,0,2,16,2,4,0.333333333,92,1.0,0,0.75,0,4,1.5,0
1,0,1,2,0,1,2.0,4,0.0,0,1.0,0,0,0.0,0
42,14,28,78,16,33,0.909756098,498,1.0,7,0.118466899,0,4,1.5714,17
5,0,2,6,1,5,2.0,13,0.0,0,0.8,0,1,0.8,0
7,0,12,21,0,7,0.791666667,80,1.0,3,0.35714285700000004,0,1,0.8571,0
0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0
3,0,4,8,1,3,0.5,32,1.0,2,0.5555555560000001,0,1,0.6667,0
4,0,3,20,3,3,2.0,133,0.0,0,0.3,0,7,3.25,1
1,0,1,2,0,1,2.0,5,0.0,0,1.0,0,0,0.0,1
4,2,5,24,2,1,2.0,93,0.0,0,0.4,0,4,1.5,0
29,2,14,47,2,24,0.934065934,262,1.0,1,0.187739464,0,9,1.4138,0
2,0,4,4,0,1,2.0,9,0.0,0,0.75,1,1,0.5,1
1,0,2,2,1,1,2.0,5,0.0,0,1.0,0,0,0.0,0
36,0,41,79,18,36,0.571428571,288,1.0,1,0.11666666699999999,0,1,0.9722,0
3,0,2,6,1,3,2.0,16,0.0,0,0.7777777779999999,0,0,0.0,0
1,0,1,1,1,1,2.0,1,0.0,0,1.0,0,1,1.0,0
23,0,18,60,4,18,0.8506493509999999,312,1.0,1,0.20202020199999998,5,2,0.9129999999999999,2
8,0,10,33,2,2,0.7142857140000001,194,1.0,0,0.452380952,0,8,2.25,2
10,0,9,31,3,3,0.7777777779999999,182,1.0,0,0.242857143,5,3,1.5,0
5,0,7,8,2,5,0.75,35,1.0,0,0.333333333,0,1,0.8,0
3,0,1,5,0,3,2.0,12,0.0,0,0.666666667,2,1,0.3333,0
4,4,14,8,14,4,2.0,20,0.0,0,0.666666667,0,0,0.0,0
2,0,4,6,0,2,2.0,18,0.0,0,1.0,0,1,0.5,0
3,0,4,8,0,2,2.0,24,0.0,0,0.444444444,1,1,0.6667,0
1,0,1,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
4,0,1,6,0,4,0.333333333,22,1.0,0,0.583333333,0,1,0.5,0
5,2,9,22,2,1,2.0,145,0.0,0,0.5,0,4,1.8,0
2,0,6,6,1,2,0.0,22,1.0,0,0.6,0,1,0.5,2
20,0,27,109,11,14,0.802631579,728,1.0,3,0.21052631600000002,0,10,1.95,0
51,0,15,113,11,50,0.924,731,0.6,0,0.104444444,0,2,1.0,3
4,0,6,7,1,4,0.333333333,23,1.0,0,0.5,0,1,0.75,0
2,2,6,4,4,2,2.0,13,0.0,0,0.875,0,0,0.0,0
8,0,9,19,2,8,0.7142857140000001,59,1.0,0,0.3,3,1,0.625,0
3,0,0,6,0,3,2.0,12,0.0,0,0.833333333,0,1,0.6667,0
2,0,5,5,1,2,2.0,15,0.0,0,0.625,0,1,0.5,0
1,0,14,1,14,1,2.0,1,0.0,0,1.0,0,1,1.0,0
12,0,6,22,1,11,0.590909091,100,1.0,0,0.35416666700000005,3,3,0.9167,0
17,0,30,51,21,15,2.0,289,0.0,0,0.344537815,0,4,1.4706,1
5,0,3,9,1,4,0.0,50,1.0,0,0.533333333,2,2,0.8,0
9,0,24,68,1,4,0.9375,442,0.333333333,0,0.35,0,8,1.7778,0
6,0,6,15,1,4,0.4,54,1.0,1,0.444444444,1,1,0.8333,0
9,0,6,13,1,8,0.625,59,1.0,0,0.518518519,4,2,0.7778,2
4,0,3,9,2,4,0.333333333,47,1.0,0,0.666666667,0,1,0.5,0
6,6,11,14,6,5,0.6,49,1.0,2,0.375,0,2,1.0,1
14,1,8,35,2,12,0.673076923,185,1.0,2,0.323076923,5,7,1.2143,4
10,0,5,20,1,8,0.444444444,121,1.0,1,0.35,2,3,1.2,0
30,0,13,73,1,27,0.6689655170000001,380,1.0,2,0.11428571400000001,0,3,1.0333,0
14,0,6,25,3,14,0.564102564,129,1.0,0,0.3,3,1,0.8571,0
1,0,6,1,5,1,2.0,1,0.0,0,1.0,0,1,1.0,0
1,0,4,1,1,1,2.0,1,0.0,0,1.0,0,1,1.0,0
4,2,6,24,2,1,2.0,96,0.0,0,0.45,0,3,1.5,0
14,0,11,45,1,11,0.972527473,400,0.14285714300000002,0,0.192857143,0,2,1.0,2
5,0,8,11,3,5,0.25,39,1.0,0,0.7,0,1,0.8,0
8,0,14,17,8,6,0.571428571,69,1.0,1,0.3,1,2,1.0,0
18,0,13,39,3,17,0.870588235,170,1.0,0,0.17901234600000002,1,3,1.1111,0
7,1,2,8,1,7,0.666666667,40,1.0,0,0.642857143,0,2,1.1429,0
12,1,14,35,3,3,0.803030303,215,1.0,1,0.261363636,0,4,1.0,0
52,3,32,124,6,45,0.793226381,766,1.0,2,0.10784313699999999,0,7,1.0962,0
1,0,1,2,0,1,2.0,6,1.0,0,1.0,0,0,0.0,0
6,0,4,9,0,5,0.2,41,1.0,0,0.41666666700000005,0,2,1.0,0
4,0,6,15,0,3,0.666666667,60,1.0,0,0.4,3,1,0.5,0
5,0,3,19,0,3,0.75,56,1.0,0,0.25,0,2,0.8,0
2,0,2,2,2,2,2.0,2,0.0,0,1.0,0,1,1.0,0
13,0,4,23,1,13,0.0,70,1.0,1,0.326923077,0,1,0.9231,0
15,0,15,49,1,8,0.8214285709999999,226,1.0,0,0.261904762,3,2,0.8667,0
4,0,10,22,2,4,2.0,105,0.0,0,0.583333333,0,7,2.25,2
2,0,2,6,1,2,1.0,21,1.0,0,0.75,0,1,0.5,1
9,1,7,18,1,7,0.25,66,1.0,1,0.38888888899999996,1,1,0.7778,1
5,0,4,8,1,4,1.0,35,1.0,0,0.44,0,1,0.6,0
166,14,118,322,67,157,0.893602694,2077,0.8888888890000001,3,0.056277056,0,6,1.1506,1
5,0,8,19,1,2,0.5,63,1.0,1,0.4,4,1,0.6,1
8,0,11,11,4,8,0.666666667,58,1.0,3,0.3,20,1,0.875,0
5,0,7,14,2,3,0.625,60,1.0,0,0.44,2,1,0.8,0
18,0,7,35,3,15,0.638655462,317,1.0,0,0.26388888899999996,1,3,0.7778,0
4,0,9,12,5,4,0.0,41,1.0,1,0.4375,0,1,0.75,2
8,0,3,16,2,8,0.14285714300000002,125,1.0,1,0.375,1,8,2.0,0
3,0,6,13,2,3,0.25,49,1.0,2,0.46666666700000003,2,1,0.6667,0
9,0,3,18,1,8,0.375,79,1.0,0,0.355555556,0,1,0.7778,1
18,0,11,33,2,15,0.858823529,160,1.0,1,0.287037037,1,2,0.7778,0
11,0,14,22,0,11,0.82,105,1.0,2,0.340909091,0,1,0.9091,0
1,0,3,1,2,1,2.0,1,0.0,0,1.0,0,1,1.0,0
11,0,8,30,4,11,1.0142857140000001,163,0.14285714300000002,0,0.4,0,4,1.2727,0
3,0,2,41,0,1,2.0,228,0.0,0,0.333333333,0,1,0.6667,0
9,0,5,20,3,7,0.625,100,1.0,0,0.4375,0,4,1.2222,0
7,0,7,16,1,7,2.0,78,0.0,0,0.46428571399999996,0,2,1.0,0
5,0,3,8,3,5,0.666666667,36,1.0,1,0.4,0,1,0.8,0
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
5,0,11,38,1,4,0.25,303,1.0,1,0.36,1,1,0.8,0
4,0,9,12,1,4,1.0,44,1.0,1,0.541666667,0,1,0.25,1
5,0,8,19,1,4,0.625,61,1.0,1,0.5,0,1,0.4,2
2,0,30,2,28,2,2.0,2,0.0,0,1.0,0,1,1.0,0
8,6,13,25,6,3,0.571428571,89,1.0,0,0.333333333,0,2,0.625,0
1,0,4,1,3,1,2.0,1,0.0,0,1.0,0,1,1.0,0
12,0,29,61,2,11,0.454545455,395,1.0,2,0.25,0,9,2.0,7
2,0,4,2,4,2,2.0,2,0.0,0,1.0,0,1,1.0,0
24,0,10,84,3,14,0.8797953959999999,597,0.705882353,0,0.193236715,1,8,1.375,3
2,0,2,3,1,2,2.0,10,0.0,0,0.75,0,0,0.0,0
5,0,12,5,9,5,2.0,5,0.0,0,0.36666666700000006,0,1,1.0,0
4,0,6,9,4,4,0.333333333,40,1.0,1,0.5625,0,1,0.5,0
3,0,1,5,0,3,2.0,12,0.0,0,0.666666667,2,1,0.3333,0
4,0,17,7,16,2,0.958333333,100,0.125,8,0.444444444,1,1,0.5,0
8,0,10,27,2,4,0.7142857140000001,120,1.0,0,0.291666667,0,1,0.75,0
36,0,21,49,5,36,0.9638095240000001,261,1.0,2,0.160493827,2,2,1.0,0
2,0,8,2,6,2,2.0,2,0.0,0,0.666666667,0,1,1.0,0
1,0,2,2,1,1,2.0,5,0.0,0,1.0,0,0,0.0,1
16,0,14,86,4,4,0.7333333329999999,559,1.0,1,0.1875,0,4,1.4375,0
1,0,6,1,5,1,2.0,1,0.0,0,1.0,0,1,1.0,0
0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0
2,0,4,4,0,1,2.0,11,0.0,0,0.666666667,1,1,0.5,0
7,0,6,18,1,4,2.0,63,0.0,0,0.30952381,0,2,0.7143,2
6,0,26,71,1,5,0.6,373,1.0,1,0.4,0,14,4.5,0
9,0,12,41,1,1,0.625,186,1.0,0,0.41666666700000005,4,9,1.7778,0
1,0,7,1,5,1,2.0,1,0.0,0,1.0,0,1,1.0,0
19,0,9,37,2,13,0.833333333,203,1.0,3,0.22368421100000002,1,3,1.3158,0
4,0,51,4,47,4,2.0,4,0.0,0,0.5,0,1,1.0,0
11,0,5,16,2,11,0.85,77,0.5,0,0.484848485,3,1,0.7273,0
4,6,8,12,6,3,2.0,37,0.0,0,0.5625,0,2,1.0,0
6,0,6,7,1,6,0.6,25,0.0,0,0.375,0,1,0.8333,0
5,0,6,9,5,3,0.9,75,0.2,5,0.41666666700000005,1,1,0.6,0
3,0,17,35,3,2,1.041666667,491,0.083333333,0,0.666666667,0,4,2.0,0
3,0,4,9,1,3,2.0,23,0.0,0,1.0,1,1,0.6667,0
9,0,4,12,1,9,0.25,50,1.0,0,0.5555555560000001,5,1,0.7778,0
1,0,8,1,7,1,2.0,1,0.0,0,1.0,0,1,1.0,0
2,0,0,2,0,2,2.0,2,0.0,0,1.0,0,1,1.0,0
2,0,4,4,0,2,2.0,10,0.0,0,0.666666667,0,1,0.5,0
4,0,3,7,2,4,0.0,22,1.0,1,0.625,0,1,0.75,0
16,0,14,30,7,14,0.8666666670000001,142,1.0,1,0.24107142899999998,4,5,1.25,0
23,0,19,33,4,23,0.636363636,247,1.0,3,0.24154589399999998,2,2,1.0,0
3,0,2,7,0,3,2.0,13,0.0,0,0.833333333,0,1,0.6667,0
15,0,22,31,5,13,0.75,124,1.0,1,0.192592593,0,2,0.9333,0
1,0,9,1,9,1,2.0,1,0.0,0,1.0,0,1,1.0,0
15,0,8,42,7,14,2.0,214,0.0,0,0.2,0,4,2.4667,1
1,0,56,1,56,1,2.0,1,0.0,0,1.0,0,1,1.0,1
22,1,15,66,4,16,0.849206349,318,1.0,1,0.295454545,3,4,1.3636,0
3,0,4,5,0,3,2.0,18,0.0,0,0.833333333,0,1,0.6667,0
5,0,7,16,1,4,0.5,57,1.0,1,0.533333333,0,1,0.8,0
11,0,4,22,1,10,2.0,86,0.0,0,0.181818182,0,1,0.9091,3
7,0,16,27,4,7,2.0,105,0.0,0,0.37142857100000004,0,4,1.4286,5
14,0,9,18,4,11,2.0,71,0.0,0,0.33928571399999996,3,1,0.8571,0
3,0,5,12,1,3,0.0,38,1.0,0,0.666666667,0,1,0.3333,1
14,0,7,25,1,12,0.815384615,131,1.0,1,0.33846153799999995,2,4,1.0,0
4,0,1,8,0,4,2.0,36,0.0,0,0.875,0,2,1.0,0
3,9,9,4,9,3,0.5,14,1.0,0,0.666666667,0,1,0.6667,0
7,0,8,13,2,5,0.5,59,1.0,0,0.46428571399999996,1,2,0.8571,0
6,0,8,14,1,6,0.4,54,1.0,0,0.433333333,0,2,1.0,0
1,0,3,1,3,1,2.0,1,0.0,0,1.0,0,1,1.0,0
7,0,3,12,1,7,0.0,59,1.0,1,0.5,0,1,0.8571,0
5,0,15,35,1,3,0.25,148,1.0,0,0.5,0,1,0.6,0
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
3,0,13,3,11,3,2.0,3,0.0,0,0.833333333,0,1,1.0,0
2,0,12,2,11,2,2.0,2,0.0,0,0.75,0,1,1.0,0
12,0,8,26,0,12,0.8409090909999999,126,1.0,3,0.38888888899999996,0,5,1.25,0
7,0,5,9,0,6,2.0,44,0.0,0,0.857142857,0,1,0.8571,0
3,0,1,5,0,3,2.0,12,0.0,0,0.666666667,2,1,0.3333,0
0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0
2,0,2,6,1,2,0.0,20,1.0,0,0.75,0,1,0.5,0
11,0,8,22,2,7,0.6333333329999999,98,1.0,0,0.283333333,4,3,1.0909,0
6,0,6,17,1,4,0.4,85,1.0,1,0.4,2,1,0.8333,3
6,0,12,23,2,4,0.666666667,90,1.0,1,0.44,0,1,0.5,0
3,0,1,20,1,2,2.0,106,0.0,0,0.7777777779999999,0,9,3.6667,0
3,0,3,16,1,1,0.5,60,1.0,0,0.5,0,3,1.0,0
3,0,7,5,4,3,2.0,12,0.0,0,0.666666667,2,1,0.6667,1
13,1,6,30,5,13,0.291666667,201,1.0,0,0.384615385,0,1,0.6923,0
13,3,11,19,3,13,0.638888889,95,1.0,1,0.346153846,3,3,1.1538,0
3,0,5,5,1,3,0.0,24,1.0,0,1.0,0,1,0.6667,0
35,0,172,35,162,35,2.0,35,0.0,0,0.147619048,0,1,1.0,10
23,1,23,39,10,23,0.8409090909999999,185,1.0,3,0.152173913,1,3,1.087,0
29,0,28,85,9,13,0.914835165,713,0.692307692,6,0.167582418,1,12,2.1379,11
3,1,5,10,3,3,0.75,33,1.0,1,0.583333333,0,1,0.3333,1
5,1,9,20,3,3,0.0,73,1.0,0,0.5,0,1,0.8,0
7,0,2,12,2,7,0.333333333,47,1.0,0,0.47619047600000003,0,1,0.7143,0
1,0,2,1,2,1,2.0,1,0.0,0,1.0,0,1,1.0,0
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
3,0,5,9,4,3,0.0,44,1.0,0,0.666666667,0,1,0.3333,1
3,0,4,10,1,3,0.5,37,1.0,0,0.5,0,1,0.6667,0
9,0,5,18,1,9,0.75,94,1.0,1,0.333333333,3,4,1.3333,0
1,0,2,2,1,1,2.0,5,0.0,0,1.0,0,0,0.0,1
42,0,31,84,14,39,0.8689024390000001,427,1.0,5,0.093915344,3,4,1.1429,0
18,0,13,33,9,16,0.882352941,144,1.0,1,0.235294118,0,2,1.1111,0
7,0,8,23,0,7,0.5,118,1.0,0,0.342857143,0,4,1.5714,0
14,1,16,54,3,5,0.833333333,352,1.0,2,0.23214285699999998,0,5,1.2143,0
45,0,13,73,5,45,0.5,351,1.0,0,0.261111111,2,1,0.9778,1
2,0,8,13,0,1,2.0,152,0.0,0,0.5,0,17,8.5,4
4,0,6,20,2,2,0.333333333,121,1.0,0,0.5555555560000001,0,1,0.5,0
4,3,9,17,4,3,2.0,116,0.0,0,0.5625,0,4,1.5,0
4,1,1,9,1,4,0.0,27,1.0,0,1.0,0,1,0.75,0
7,0,9,22,1,1,2.0,141,0.0,0,0.5,0,10,2.4286,0
9,1,11,23,5,7,0.45833333299999995,127,1.0,1,0.375,0,2,0.6667,0
7,0,12,28,1,2,0.6333333329999999,227,0.8,1,0.333333333,1,3,1.0,0
63,1,30,147,6,57,0.788306452,692,1.0,4,0.084485407,4,5,1.0476,0
6,0,6,13,1,6,0.2,58,1.0,0,0.5,0,2,0.8333,0
6,0,8,23,1,1,0.7,100,1.0,0,0.36666666700000006,0,4,1.1667,0
9,0,9,20,1,6,0.84375,81,0.75,0,0.325,1,2,0.7778,0
3,0,4,7,1,3,0.0,31,1.0,0,0.583333333,0,1,0.6667,0
9,0,10,18,3,7,0.8125,61,1.0,1,0.23214285699999998,0,1,0.7778,4
7,2,14,39,2,0,0.5,187,1.0,1,0.35714285700000004,1,10,2.1429,0
2,0,3,7,1,2,0.0,21,1.0,0,0.666666667,0,1,0.5,0
10,19,29,22,20,7,0.7777777779999999,99,1.0,4,0.28,1,2,1.2,1
10,0,8,11,3,10,0.740740741,62,1.0,3,0.3,20,1,0.9,0
6,0,7,22,1,5,0.2,82,1.0,1,0.3,1,1,0.6667,0
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
9,0,13,26,0,5,0.875,95,1.0,1,0.333333333,2,2,0.8889,0
11,0,6,14,2,11,0.7,82,1.0,3,0.327272727,0,3,1.0909,0
7,0,8,38,3,2,0.8888888890000001,185,1.0,0,0.253968254,0,3,1.2857,1
14,0,8,29,3,13,0.46153846200000004,122,1.0,0,0.321428571,8,2,1.1429,0
11,0,4,20,1,10,0.1,124,1.0,1,0.363636364,0,3,1.2727,0
6,0,2,11,1,6,0.2,45,1.0,0,0.41666666700000005,0,2,0.8333,0
4,0,6,13,2,3,2.0,77,0.0,0,0.5,0,4,2.75,4
35,0,13,65,5,30,0.9117647059999999,537,1.0,0,0.271428571,0,14,1.8571,0
1,0,0,2,0,0,2.0,24,0.0,0,1.0,0,0,0.0,0
11,1,10,20,6,11,0.5,117,1.0,1,0.363636364,3,3,1.0909,0
4,0,7,7,2,4,2.0,18,0.0,0,0.5,0,1,0.75,0
6,0,18,37,1,3,0.65,146,1.0,1,0.333333333,1,2,0.8333,0
2,0,3,4,0,2,2.0,11,0.0,0,0.833333333,0,0,0.0,0
2,0,2,5,0,1,2.0,15,0.0,0,0.625,1,1,0.5,0
3,0,3,8,1,3,0.5,29,0.0,0,0.666666667,0,1,0.6667,0
6,0,4,12,0,5,2.0,29,0.0,0,0.25,0,1,0.8333,0
2,0,5,8,1,2,2.0,50,0.0,0,0.75,0,1,0.5,0
29,0,16,72,12,26,0.8214285709999999,403,1.0,1,0.100649351,0,3,1.1034,3
0,0,0,0,0,0,2.0,0,0.0,0,0.0,0,0,0.0,0
21,0,19,52,5,13,0.8625,287,1.0,4,0.166666667,2,5,1.6667,0
3,0,1,5,0,3,2.0,12,0.0,0,0.666666667,2,1,0.3333,0
5,0,4,11,2,5,0.0,43,1.0,1,0.6,0,1,0.8,0
4,0,6,16,1,3,0.666666667,52,1.0,0,0.46666666700000003,0,1,0.25,0
34,13,45,75,15,34,2.0,361,0.0,0,0.19607843100000003,0,5,1.1176,0
2,0,0,5,0,1,2.0,15,0.0,0,0.5,0,1,0.5,0
3,0,1,5,0,3,2.0,12,0.0,0,0.666666667,2,1,0.3333,0
0,0,46,0,45,0,2.0,0,0.0,0,0.0,0,0,0.0,0
20,0,80,20,75,20,2.0,20,0.0,0,0.16,0,1,1.0,1
12,0,8,19,1,9,0.363636364,101,1.0,0,0.35416666700000005,1,3,1.1667,0
9,0,11,33,1,1,2.0,440,0.0,0,0.320987654,1,8,3.4444,0
2,0,2,7,1,2,0.0,25,1.0,0,0.666666667,0,1,0.5,0
5,0,9,17,2,2,2.0,97,0.0,0,0.45,0,2,1.0,0
43,0,9,101,4,35,0.833333333,792,0.8,1,0.261904762,0,1,0.8372,0
1,0,0,1,0,1,2.0,1,0.0,0,1.0,0,1,1.0,0
18,0,2,34,2,18,0.558823529,114,1.0,0,0.18333333300000001,0,2,1.0556,0
12,0,41,72,5,5,0.9090909090000001,330,0.7142857140000001,0,0.290909091,1,5,1.4167,0
9,0,8,22,2,8,0.46875,149,1.0,0,0.333333333,0,3,1.0,1
